Nom,Acides gras saturés,Acides organiques,Acides phénoliques,Autres polyphénols,Calcium,Cuivre,Eau,Equivalent Vitamine A,Fer,Fibres,Flavonoides,Glucides,Iode,Lignanes,Lipides,Magnésium,Manganèse,Phosphore,Polyphénols totaux,Potassium,Protéines,Provitamine A Béta-carotène,Sodium,Stilbènes,Sucre,Sélénium,Vitamine B1,Vitamine B2,Vitamine B3,Vitamine B5,Vitamine B6,Vitamine B9,Vitamine C,Vitamine E,Zinc
90,0.046,0.0,0.0,0.0,0.0396,6.6e-05,92.0,9.633e-05,0.0005300000000000001,2.23,0.0,2.3,5e-07,6e-05,0.2,0.014,0.00019,0.0444,6e-05,0.405,1.14,0.000578,0.0395,0.0,2.21,0.0,2e-05,7.099999999999999e-05,0.00042,0.00023,5.3e-05,2.8499999999999998e-05,0.0105,0.00058,0.00021
91,0.034,0.0,0.19259,0.0,0.023899999999999998,5.1e-05,95.5,8e-08,0.00014000000000000001,1.0,0.0,3.15,9.999999999999999e-06,0.0,0.2,0.0126,9.800000000000001e-05,0.024,0.19259,0.185,1.1,4.9999999999999996e-05,0.00199,0.0,2.2,9.999999999999999e-06,5e-05,5e-05,0.00013000000000000002,0.00014000000000000001,5e-05,4.41e-05,0.0015,0.00027,0.00019
92,0.067,0.13,0.0,0.0,0.006030000000000001,0.00035,93.9,0.0,0.00031,1.0,0.0,1.33,1e-06,0.0,0.36,0.0105,7.6e-05,0.09659999999999999,0.0,0.364,2.62,0.0,0.039,0.0,1.06,6.469999999999999e-06,7.3e-05,0.00029,0.005,0.00157,0.0001,3.45e-05,0.00309,2e-05,0.0005
93,0.254,0.0,1.21522,0.0,0.0211,0.0,65.8,0.0,0.001,4.0,5e-05,26.1,0.0,0.0,1.25,0.024100000000000003,0.0,0.051000000000000004,1.21527,0.359,2.0,0.0,0.0521,0.0,3.9,0.0,5e-05,7.000000000000001e-05,0.0015,0.00044,0.00022,5.8e-05,0.0,0.0001,0.0
94,0.072,0.0,0.0,0.0,0.019899999999999998,7.4e-05,93.0,9.067e-05,0.00074,1.8,0.023190000000000002,0.81,2.5e-07,0.0,0.32,0.00631,4.9000000000000005e-05,0.051500000000000004,0.023190000000000002,0.198,2.53,0.000544,0.0085,0.0,0.81,3.35e-06,0.00011,0.00012,0.0010600000000000002,0.00019,5e-05,0.00014199999999999998,0.016100000000000003,0.00135,0.0002
95,0.1,0.0,0.0,0.0,0.0193,8.5e-05,93.8,2.8829999999999997e-05,0.00032,1.5,0.0,1.4,4.9999999999999996e-06,0.0,0.36,0.0223,8.9e-05,0.065,0.0,0.23800000000000002,0.93,0.000173,0.039,0.0,1.39,9.999999999999999e-06,5e-05,5e-05,5e-05,5e-05,5e-05,3.28e-05,0.0029,0.00012,0.00022
96,0.052,0.0,0.0,0.0,0.020100000000000003,5.800000000000001e-05,89.7,3.6699999999999996e-06,0.00025,4.3,0.0,4.17,1e-06,0.0,0.28,0.015,0.00012,0.015,0.0,0.123,1.23,2.2e-05,0.00595,0.0,3.41,3.35e-06,7.6e-05,2e-05,0.0006,7.5e-05,8.599999999999999e-05,1.4e-05,0.0013000000000000002,0.00041,9.800000000000001e-05
97,0.097,0.0,0.0,0.0,0.0192,5e-05,93.7,8.33e-06,0.00031,2.0,0.0,1.6,4.9999999999999996e-06,0.0,0.46,0.0129,0.00012,0.034,0.0,0.23800000000000002,1.6,4.9999999999999996e-05,0.039,0.0,1.59,9.999999999999999e-06,5e-05,5e-05,0.00021,0.00021,5e-05,7.879999999999999e-05,0.009718000000000001,7.000000000000001e-05,0.00022
98,0.028,0.0,0.0,0.0,0.019100000000000002,5.3e-05,87.1,3.5e-06,0.00079,2.0,0.0005,8.56,3.1e-07,7.080000000000001e-06,0.18,0.016800000000000002,0.00045000000000000004,0.038,0.000507,0.305,1.84,2.1e-05,0.077,0.0,7.96,2.2e-06,2.7e-05,4e-05,0.00033,0.00015,6.7e-05,7.999999999999999e-05,0.0036000000000000003,4e-05,0.00027
100,0.075,0.0,0.0,0.0,0.0805,0.0003,64.3,8.299999999999999e-07,0.0016,4.7,0.0,21.2,9e-07,0.030850000000000002,0.34,0.025,0.00167,0.157,0.030850000000000002,0.401,5.81,4.9999999999999996e-06,0.039,0.0,1.43,2e-06,0.0002,0.00011,0.0007,0.0006,0.00199,5.129999999999999e-05,0.0181,4.4999999999999996e-05,0.00116
